index_unet,filename_unet,unet_acc,sample_id,index_doc,filename_doc,doc_acc,num_tables
0,sample_00132,20.0,132,131,sample_00132,7.6923076923076925,1
1,sample_00126,62.93103448275862,126,125,sample_00126,9.482758620689657,1
2,sample_00085,87.5,85,84,sample_00085,77.5,1
3,sample_00091,50.0,91,90,sample_00091,90.0,1
4,sample_00046,12.82051282051282,46,45,sample_00046,87.17948717948718,1
5,sample_00052,72.72727272727273,52,51,sample_00052,96.96969696969695,1
6,sample_00053,80.35714285714286,53,52,sample_00053,96.42857142857144,1
7,sample_00047,80.55555555555556,47,46,sample_00047,80.55555555555556,1
8,sample_00090,62.5,90,89,sample_00090,79.16666666666666,1
9,sample_00084,76.66666666666667,84,83,sample_00084,85.0,1
10,sample_00127,11.11111111111111,127,126,sample_00127,59.72222222222222,1
11,sample_00133,36.11111111111111,133,132,sample_00133,100.0,1
12,sample_00119,69.04761904761905,119,118,sample_00119,88.09523809523809,1
13,sample_00125,46.42857142857143,125,124,sample_00125,91.66666666666666,1
14,sample_00131,53.75,131,130,sample_00131,71.25,1
15,sample_00092,78.0,92,91,sample_00092,96.0,1
16,sample_00086,92.5,86,85,sample_00086,85.0,1
17,sample_00079,2.0,79,78,sample_00079,91.0,1
18,sample_00051,76.92307692307693,51,50,sample_00051,89.74358974358975,1
19,sample_00045,80.26315789473685,45,44,sample_00045,92.10526315789474,1
20,sample_00044,75.0,44,43,sample_00044,87.5,1
21,sample_00050,60.0,50,49,sample_00050,88.57142857142857,1
22,sample_00078,0.0,78,77,sample_00078,89.41176470588236,1
23,sample_00087,95.0,87,86,sample_00087,90.0,1
24,sample_00093,90.0,93,92,sample_00093,95.0,1
25,sample_00130,0.0,130,129,sample_00130,0.0,0
26,sample_00124,19.642857142857142,124,123,sample_00124,81.25,1
27,sample_00118,1.4285714285714286,118,117,sample_00118,91.42857142857144,1
28,sample_00120,48.148148148148145,120,119,sample_00120,70.37037037037037,1
29,sample_00134,66.66666666666666,134,133,sample_00134,93.93939393939394,1
30,sample_00108,59.25925925925925,108,107,sample_00108,68.51851851851852,1
31,sample_00097,71.07142857142857,97,96,sample_00097,78.21428571428571,1
32,sample_00083,13.333333333333334,83,82,sample_00083,56.666666666666664,1
33,sample_00054,81.81818181818183,54,53,sample_00054,90.9090909090909,1
34,sample_00040,92.5,40,39,sample_00040,92.5,1
35,sample_00068,46.875,68,67,sample_00068,78.125,1
36,sample_00069,44.44444444444444,69,68,sample_00069,94.44444444444444,1
37,sample_00041,74.4,41,40,sample_00041,68.8,1
38,sample_00055,59.74025974025974,55,54,sample_00055,54.54545454545454,1
39,sample_00082,75.0,82,81,sample_00082,92.10526315789474,1
40,sample_00096,57.57575757575758,96,95,sample_00096,78.78787878787878,1
41,sample_00109,8.333333333333332,109,108,sample_00109,0.0,0
42,sample_00135,20.0,135,134,sample_00135,0.0,0
43,sample_00121,22.22222222222222,121,120,sample_00121,0.0,0
44,sample_00137,47.22222222222222,137,136,sample_00137,2.7777777777777777,1
45,sample_00123,65.15151515151516,123,122,sample_00123,80.3030303030303,1
46,sample_00080,66.66666666666666,80,79,sample_00080,86.11111111111111,1
47,sample_00094,65.9090909090909,94,93,sample_00094,97.72727272727272,1
48,sample_00043,33.75,43,42,sample_00043,88.75,1
49,sample_00057,29.166666666666668,57,56,sample_00057,0.0,0
50,sample_00056,62.5,56,55,sample_00056,70.83333333333334,1
51,sample_00042,4.761904761904762,42,41,sample_00042,66.66666666666666,1
52,sample_00095,60.0,95,94,sample_00095,96.0,1
53,sample_00081,50.56818181818182,81,80,sample_00081,82.38636363636364,1
54,sample_00122,38.88888888888889,122,121,sample_00122,83.33333333333334,1
55,sample_00136,47.22222222222222,136,135,sample_00136,5.555555555555555,1
56,sample_00192,32.89473684210527,192,191,sample_00192,31.57894736842105,1
57,sample_00186,41.66666666666667,186,185,sample_00186,85.41666666666666,1
58,sample_00179,38.59649122807017,179,178,sample_00179,75.43859649122807,1
59,sample_00151,25.0,151,150,sample_00151,29.629629629629623,1
60,sample_00145,25.0,145,144,sample_00145,0.0,0
61,sample_00019,21.666666666666668,19,18,sample_00019,96.66666666666669,1
62,sample_00025,80.0,25,24,sample_00025,95.55555555555556,1
63,sample_00031,8.333333333333332,31,30,sample_00031,83.33333333333334,1
64,sample_00030,76.19047619047619,30,29,sample_00030,87.61904761904762,1
65,sample_00024,23.4375,24,23,sample_00024,82.03125,1
66,sample_00018,91.66666666666666,18,17,sample_00018,83.33333333333334,1
67,sample_00144,90.74074074074076,144,143,sample_00144,95.37037037037037,1
68,sample_00150,9.803921568627452,150,149,sample_00150,35.294117647058826,1
69,sample_00178,46.666666666666664,178,177,sample_00178,33.33333333333333,1
70,sample_00187,2.7777777777777777,187,186,sample_00187,93.05555555555556,1
71,sample_00193,42.857142857142854,193,192,sample_00193,52.38095238095239,1
72,sample_00185,25.0,185,184,sample_00185,0.0,0
73,sample_00191,24.761904761904763,191,190,sample_00191,18.095238095238095,1
74,sample_00146,0.0,146,145,sample_00146,79.16666666666666,1
75,sample_00152,60.0,152,151,sample_00152,80.0,1
76,sample_00032,62.5,32,31,sample_00032,77.27272727272727,1
77,sample_00026,0.4761904761904762,26,25,sample_00026,66.66666666666666,1
78,sample_00027,62.5,27,26,sample_00027,80.0,1
79,sample_00033,90.0,33,32,sample_00033,100.0,1
80,sample_00153,42.22222222222222,153,152,sample_00153,48.888888888888886,1
81,sample_00147,87.5,147,146,sample_00147,94.31818181818184,1
82,sample_00190,6.071428571428571,190,189,sample_00190,35.35714285714286,1
83,sample_00184,0.0,184,183,sample_00184,0.0,0
84,sample_00180,6.140350877192982,180,179,sample_00180,75.87719298245614,1
85,sample_00194,53.84615384615385,194,193,sample_00194,76.92307692307693,1
86,sample_00143,83.33333333333334,143,142,sample_00143,95.55555555555556,1
87,sample_00157,100.0,157,156,sample_00157,100.0,1
88,sample_00037,12.962962962962962,37,36,sample_00037,68.51851851851852,1
89,sample_00023,17.142857142857142,23,22,sample_00023,80.0,1
90,sample_00022,80.0,22,21,sample_00022,85.71428571428571,1
91,sample_00036,85.0,36,35,sample_00036,7.5,1
92,sample_00156,1.4705882352941175,156,155,sample_00156,89.70588235294117,1
93,sample_00142,60.0,142,141,sample_00142,86.66666666666667,1
94,sample_00195,77.77777777777779,195,194,sample_00195,88.88888888888889,1
95,sample_00181,3.4482758620689653,181,180,sample_00181,90.08620689655172,1
96,sample_00197,27.941176470588236,197,196,sample_00197,76.47058823529412,1
97,sample_00183,25.0,183,182,sample_00183,0.0,0
98,sample_00154,6.25,154,153,sample_00154,18.75,1
99,sample_00140,60.0,140,139,sample_00140,75.33333333333333,1
100,sample_00168,86.60714285714286,168,167,sample_00168,86.60714285714286,1
101,sample_00020,10.0,20,19,sample_00020,60.0,1
102,sample_00034,87.5,34,33,sample_00034,87.5,1
103,sample_00008,46.80306905370844,8,7,sample_00008,37.34015345268542,1
104,sample_00009,67.5,9,8,sample_00009,95.0,1
105,sample_00035,11.71875,35,34,sample_00035,83.59375,1
106,sample_00021,10.0,21,20,sample_00021,55.00000000000001,1
107,sample_00169,9.090909090909092,169,168,sample_00169,100.0,1
108,sample_00141,65.38461538461539,141,140,sample_00141,92.3076923076923,1
109,sample_00155,43.75,155,154,sample_00155,0.0,0
110,sample_00182,18.333333333333332,182,181,sample_00182,78.33333333333333,1
111,sample_00196,57.971014492753625,196,195,sample_00196,78.98550724637681,1
112,sample_00158,11.956521739130435,158,157,sample_00158,96.7391304347826,1
113,sample_00170,44.0,170,169,sample_00170,0.0,0
114,sample_00164,12.5,164,163,sample_00164,15.625,1
115,sample_00038,90.0,38,37,sample_00038,95.0,1
116,sample_00004,76.47058823529412,4,3,sample_00004,81.17647058823529,1
117,sample_00010,33.84615384615385,10,9,sample_00010,87.6923076923077,1
118,sample_00011,78.01724137931035,11,10,sample_00011,47.41379310344828,1
119,sample_00005,26.666666666666668,5,4,sample_00005,73.33333333333333,1
120,sample_00039,90.0,39,38,sample_00039,90.0,1
121,sample_00165,29.6875,165,164,sample_00165,15.625,1
122,sample_00171,3.571428571428571,171,170,sample_00171,3.571428571428571,1
123,sample_00159,39.39393939393939,159,158,sample_00159,0.0,1
124,sample_00198,4.040404040404041,198,197,sample_00198,71.71717171717171,1
125,sample_00167,84.0909090909091,167,166,sample_00167,82.95454545454545,1
126,sample_00173,90.71428571428572,173,172,sample_00173,92.14285714285714,1
127,sample_00013,14.074074074074074,13,12,sample_00013,67.4074074074074,1
128,sample_00007,58.92857142857143,7,6,sample_00007,80.35714285714286,1
129,sample_00006,51.78571428571429,6,5,sample_00006,78.57142857142857,1
130,sample_00012,28.749999999999996,12,11,sample_00012,80.0,1
131,sample_00172,25.26315789473684,172,171,sample_00172,16.842105263157894,1
132,sample_00166,15.0,166,165,sample_00166,17.0,1
133,sample_00199,41.66666666666667,199,198,sample_00199,0.0,0
134,sample_00189,100.0,189,188,sample_00189,100.0,1
135,sample_00162,98.52941176470588,162,161,sample_00162,91.17647058823528,1
136,sample_00176,70.0,176,175,sample_00176,88.88888888888889,1
137,sample_00016,0.0,16,15,sample_00016,0.0,0
138,sample_00002,86.53846153846155,2,1,sample_00002,96.15384615384616,1
139,sample_00200,62.5,200,199,sample_00200,0.0,0
140,sample_00003,26.956521739130434,3,2,sample_00003,52.17391304347826,1
141,sample_00017,42.857142857142854,17,16,sample_00017,85.71428571428571,1
142,sample_00177,6.944444444444445,177,176,sample_00177,65.27777777777779,1
143,sample_00163,46.96969696969697,163,162,sample_00163,73.48484848484848,1
144,sample_00188,74.19354838709677,188,187,sample_00188,96.7741935483871,1
145,sample_00175,0.0,175,174,sample_00175,3.7037037037037033,1
146,sample_00161,12.5,161,160,sample_00161,12.946428571428571,1
147,sample_00149,33.33333333333333,149,148,sample_00149,0.0,0
148,sample_00001,35.0,1,0,sample_00001,85.0,1
149,sample_00015,12.5,15,14,sample_00015,95.83333333333334,1
150,sample_00029,91.66666666666666,29,28,sample_00029,100.0,1
151,sample_00028,75.29411764705883,28,27,sample_00028,77.64705882352942,1
152,sample_00014,3.636363636363636,14,13,sample_00014,74.54545454545455,1
153,sample_00148,54.666666666666664,148,147,sample_00148,68.0,1
154,sample_00160,11.363636363636363,160,159,sample_00160,14.015151515151514,1
155,sample_00174,96.0,174,173,sample_00174,0.0,0
156,sample_00113,47.61904761904761,113,112,sample_00113,23.809523809523807,1
157,sample_00107,33.33333333333333,107,106,sample_00107,60.0,1
158,sample_00098,53.57142857142857,98,97,sample_00098,0.0,1
159,sample_00067,40.0,67,66,sample_00067,100.0,1
160,sample_00073,76.0,73,72,sample_00073,93.0,1
161,sample_00072,82.6086956521739,72,71,sample_00072,92.17391304347828,1
162,sample_00066,0.0,66,65,sample_00066,100.0,1
163,sample_00099,73.21428571428571,99,98,sample_00099,62.5,1
164,sample_00106,50.0,106,105,sample_00106,68.33333333333333,1
165,sample_00112,58.18181818181818,112,111,sample_00112,81.81818181818183,1
166,sample_00138,0.0,138,137,sample_00138,0.0,0
167,sample_00104,44.166666666666664,104,103,sample_00104,95.83333333333334,1
168,sample_00110,41.66666666666667,110,109,sample_00110,66.66666666666666,1
169,sample_00058,23.076923076923077,58,57,sample_00058,73.07692307692307,1
170,sample_00070,18.181818181818183,70,69,sample_00070,100.0,1
171,sample_00064,74.35897435897436,64,63,sample_00064,97.43589743589745,1
172,sample_00065,38.18181818181819,65,64,sample_00065,41.81818181818181,1
173,sample_00071,4.166666666666666,71,70,sample_00071,81.25,1
174,sample_00059,72.22222222222221,59,58,sample_00059,57.407407407407405,1
175,sample_00111,71.60493827160494,111,110,sample_00111,79.01234567901234,1
176,sample_00105,63.33333333333333,105,104,sample_00105,88.33333333333333,1
177,sample_00139,65.625,139,138,sample_00139,90.625,1
178,sample_00101,14.285714285714285,101,100,sample_00101,0.0,0
179,sample_00115,65.625,115,114,sample_00115,95.3125,1
180,sample_00129,1.0526315789473684,129,128,sample_00129,74.73684210526315,1
181,sample_00075,79.16666666666666,75,74,sample_00075,91.66666666666666,1
182,sample_00061,77.14285714285715,61,60,sample_00061,91.42857142857144,1
183,sample_00049,82.85714285714286,49,48,sample_00049,97.14285714285714,1
184,sample_00048,62.42424242424243,48,47,sample_00048,48.48484848484848,1
185,sample_00060,27.333333333333332,60,59,sample_00060,88.66666666666667,1
186,sample_00074,46.03174603174603,74,73,sample_00074,80.95238095238095,1
187,sample_00128,33.7037037037037,128,127,sample_00128,87.77777777777777,1
188,sample_00114,51.42857142857142,114,113,sample_00114,76.42857142857142,1
189,sample_00100,54.6875,100,99,sample_00100,57.8125,1
190,sample_00116,34.285714285714285,116,115,sample_00116,78.57142857142857,1
191,sample_00102,69.74789915966386,102,101,sample_00102,74.78991596638656,1
192,sample_00089,13.333333333333334,89,88,sample_00089,86.66666666666667,1
193,sample_00062,79.76190476190477,62,61,sample_00062,76.19047619047619,1
194,sample_00076,8.212560386473431,76,75,sample_00076,82.6086956521739,1
195,sample_00077,75.0,77,76,sample_00077,79.16666666666666,1
196,sample_00063,66.66666666666666,63,62,sample_00063,86.66666666666667,1
197,sample_00088,83.33333333333334,88,87,sample_00088,100.0,1
198,sample_00103,20.0,103,102,sample_00103,84.61538461538461,1
199,sample_00117,48.41269841269841,117,116,sample_00117,62.698412698412696,1
